songName,songAlbum,songArtist,songDurationMillis,songPlayCount,songRating,songComposer,songYear
"Spaceman That I Used To Know (Mattias, G80's Mash-Up) (Radio Record) http://www.radiorecord.ru/",http://www.radiorecord.ru/,Hardwell vs Gotye,259000,0,0,http://www.radiorecord.ru/,2012
Shake It (AGRMusic),Dubstep Collection from Kulemina,Kutz,305000,0,0,,2012
Come Alive (feat. Ingrid) (AGRMusic),Dubstep Collection from Kulemina,PatrickReza,233000,0,0,,2012
Feel It (Three 6 Mafia & Tiësto feat. Sean Kingston & Flo Rida),Tiësto & Three 6 Mafia - Feel It,Tiësto,248000,0,0,,0
Aurora (AGRMusic),Dubstep Collection from Kulemina,Urban Contact,289000,0,0,,2012
Beta (Hardwell & Nicky Romero),Hardwell - Beta,Hardwell,225000,0,0,,0
Zero 76 (Tiësto & Hardwell),"Tiësto - Club Life, Vol. 1 - Las Vegas",Tiësto,171000,0,0,,0
Live at Ultra Music Festival (Miami)-SAT-03-15-2013,Live at Ultra Music Festival (Miami)-SAT-03-15,Ferry Corsten,3651000,0,0,,2013
Live at Ultra Music Festival (WMC Miami)-STR-16-03-2013,Live at Ultra Music Festival (WMC Miami)-STR-16-03,Deadmau5,4355000,0,0,,2013
The End Is At Babylon (Sharo Bootleg) ,,Congorock Vs. Tommy Trash,259000,0,0,,0
Live at Ultra Music Festival (Miami)-SAT-03-16-2013,Live at Ultra Music Festival (Miami)-SAT-03-16,Sander van Doorn,3519000,0,0,,2013
She Flies Me Away,,Jason Derulo ft Nemesis,217000,0,0,,2010
What Am I (AGRMusic),Dubstep Collection from Kulemina,NiT GriT,271000,0,0,,2012
Break It Up (Original Mix) (AGRMusic),Dubstep Collection from Kulemina,Spock,233000,0,0,,2012
Shelter (Flinch Remix) (AGRMusic),Dubstep Collection from Kulemina,The XX,348000,0,0,,2012
Live at Ultra Music Festival (WMC Miami)-STR-17-03-2013,Live at Ultra Music Festival (WMC Miami)-STR-17-03,Tiesto,1784000,0,0,,2013
formp3life.ru,formp3life.ru,"Bream, Kryder",335000,0,0,,2012
Live at Ultra Music Festival (Miami)-SAT-03-17-2013,Live at Ultra Music Festival (Miami)-SAT-03-17,Alvaro,3172000,0,0,,2013
Live at Ultra Music Festival (Miami)-SAT-03-15-2013,Live at Ultra Music Festival (Miami)-SAT-03-15,Fedde le Grand,3198000,0,0,,2013
Synthetic Heaven (AGRMusic),Dubstep Collection from Kulemina,NiT GriT,328000,0,0,,2012
Cosmic Love (PatrickReza Remix) (AGRMusic),Dubstep Collection from Kulemina,Florence + The Machine,331000,0,0,,2012
Live at Ultra Music Festival (Miami)-SAT-03-16-2013,Live at Ultra Music Festival (Miami)-SAT-03-16,Chuckie,3035000,0,0,,2013
Gold,wapos.ru,Owl City (wapos.ru),236000,0,0,,0
Where You Should Be (AGRMusic),Dubstep Collection from Kulemina,"Neutralize, Nori",306000,0,0,,2012
Hesitate (Hold On) [Dub Scout Remix] (AGRMusic),Dubstep Collection from Kulemina,"S.Heera, MNEK",228000,0,0,,2012
C'mon (Tiësto vs. Diplo),"Tiësto - Club Life, Vol. 1 - Las Vegas",Tiësto,196000,0,0,,0
This Is The Life - Hannah Montana.MP3,,Hannah Montana,182000,0,0,,0
Nightcall,Drive,Kavinsky & Lovefoxxx,260000,0,0,,2011
Pair of Dice (Tiësto & Allure),Tiësto - Pair of Dice,Tiësto,229000,0,0,,0
Live at Ultra Music Festival Day 4 (WMC Miami)-STR-22-03-2013,Live at Ultra Music Festival Day 4 (WMC Miami)-STR-22-03,Avicii,2948000,0,0,,2013
Sunao na Niji,naruto Shippuden Ending,Surface,332000,1,0,,2008
I Love LA,Bigga Then Life,Young Dre The Truth,261000,0,0,,2008
Goin'In Fireworks (Dj Safronoff & Clory Mash-Up) (AGRMusic),Dubstep Collection from Kulemina,Birdy Nam Nam feat Dillon Francis & Skrillex,216000,0,0,,2012
How We Do (Original Mix),guasaveelectroniccrew.blogspot.mx,"guasaveelectroniccrew.blogspot.mx // Showtek, Hardwell",326000,0,0,guasaveelectroniccrew.blogspot.mx,2012
Hey Sexy Lady [Skrillex Remix] (i SQUARE),Skrillex & i SQUARE - Hey Sexy Lady,Skrillex,295000,0,0,,0
Levels [Skrillex Remix] (Avicii),Skrillex & Avicii - Levels,Skrillex,281000,0,0,,0
Promises [Skrillex & Nero Remix] (Nero),Skrillex & Nero - Promises,Skrillex,268000,0,0,,0
Renegade (James Egbert Remix) (AGRMusic),Dubstep Collection from Kulemina,Eva Simons,280000,0,0,,2012
Live at Ultra Music Festival (Miami)-SAT-03-15-2013,Live at Ultra Music Festival (Miami)-SAT-03-15,Nicky Romero,3108000,0,0,,2013
Houdini Acoustic,,Foster The People,204000,0,0,,0
 International Love (Prod. by RedOne),Exclusive Jams [Nikko.vkontakte.ru],Chris Brown feat. Pitbull,209000,0,0,Exclusive Jams [Nikko.vkontakte.ru]BabyDelFlow★,0
"Pressure [Alesso Remix] (Nadia Ali , Starkillers & Alex Kenji)",Nadia Ali - Pressure,Nadia Ali,229000,0,0,,0
Sweet Nothing (Diplo and Grand Theft Remix) (AGRMusic),Dubstep Collection from Kulemina,Calvin Harris feat. Florence Welch,292000,0,0,,2012
Prism (AGRMusic),Dubstep Collection from Kulemina,Leviathan,243000,0,0,,2012
All I Ask of You (Skrillex with Penny),Skrillex - My Name Is Skrillex,Skrillex,295000,0,0,,0
Blitz Crank (Original Mix) (AGRMusic),Dubstep Collection from Kulemina,Obscenity & Killabyte Ft. Messinian,357000,0,0,,2012
Naruto Shippuden - Decision,,Naruto OST 1,196000,9,5,,0
Borborema,Ragnarok Online BGM,Denis Koishi,192000,0,0,Denis Koishi,2009
Sugar Cane Carnival,Ragnarok Online BGM,Take One Media,186000,0,0,Take One Media,2010
Twilight Heaven,Ragnarok Online BGM,Take One Media,181000,0,0,Take One Media,2010
Tricky Cheeky,Ragnarok Online BGM,Take One Media,159000,0,0,Take One Media,2010
Silent Voyage,Ragnarok Online BGM,Take One Media,165000,0,0,Take One Media,2010
Diamond Dust,Ragnarok Online BGM,Take One Media,129000,0,0,Take One Media,2010
Octopus Scramble,Ragnarok Online BGM,Take One Media,124000,0,0,Take One Media,2010
Melt Down!,Ragnarok Online BGM,Take One Media,127000,0,0,Take One Media,2010
Uncanny Dreams,Ragnarok Online BGM,Moon Sung Gon,144000,0,0,,2011
Theme of Port Malaya,Ragnarok Online BGM,Sound Dog,125000,0,0,,2011
Voices,Ragnarok Online BGM,Moon Sung Gon,101000,0,0,,2011
Eclage,Ragnarok Online BGM,Sound Dog,143000,0,0,,2011
Eclage,Ragnarok Online BGM,Sound Dog,168000,0,0,,2011
Beyond The Grave,Ragnarok online,SoundDOG,145000,0,0,,0
Indelible Scars,Ragnarok online,SoundDOG,131000,0,0,SoundDOG,0
Jittering Nightmare,Ragnarok online,StyleM,144000,0,0,,2013
Dancing Christmas in the 13th Month,Ragnarok Online BGM,Ragnarok Online,185000,0,0,,2005
Fullmetal Alchemist Brotherhood Opening 1-Again creditless.mp3,,,90000,0,0,,0
Balance KISS,KISS,Balance KISS,226000,0,0,,0
Balanced KISS 2,KISS,Balance KISS,90000,1,5,,0
Reload,Reload - Single,Sebastian Ingrosso & Tommy Trash,360466,0,0,,2012
Shave It Up,Clarity,Zedd,190875,0,0,Anton Zaslavski,2012
Epos,Clarity,Zedd,335748,0,0,Anton Zaslavski,2012
Through the Gate.mp3,,,262000,0,0,,0
We Got The Party,Hannah Montana 2: Meet Miley Cyrus [Disc 1],Hannah Montana,216000,0,0,Greg Wells and Kara DioGuardi,0
One In Million,Hannah Montana 2: Meet Miley Cyrus [Disc 1],Hannah Montana,236000,0,0,Toby Gad and Negin Djafari,0
Catastrophe,Tsubasa Chronicles,Tsubasa,249000,0,5,,0
Lost Wings,Tsubasa Chronicles,Tsubasa,119000,1,5,,0
Haunted,Fallen,Evanescence,185441,0,0,,2003
Taking Over Me,Fallen,Evanescence,228621,0,0,,2003
Imaginary,Fallen,Evanescence,256519,0,0,,2003
Fade Into Darkness (Vocal Mix) (Alex Prigenzi Edit),ChemicalJump.com,Avicii,346000,0,0,,0
Smile - Fey,Tsubasa Chronicles 2,Tsubasa,285038,0,5,,0
Naruto - Wind  ウインド [Lyrics On Screen].mp3,,,216190,0,0,,0
Naruto Shippuden  Ending 31  Dame Dame da  ft. Shiori Tomita - Copy (1).mp3,,,123526,0,0,,0
Naruto Shippuden  Ending 31  Dame Dame da  ft. Shiori Tomita.mp3,,,83564,0,0,,0
Breathe (AGRMusic),Dubstep Collection from Kulemina,Minnesota,291000,0,0,,2012
Space Bound,Recovery,Eminem,278645,0,0,,0
Somebody That I Used To Know,Making Mirrors,Gotye,244974,0,0,,2011
Somebody That I Used To Know,Making Mirrors,Gotye,244974,0,0,,2011
My Immortal (Band Version),Fallen,Evanescence,273369,0,0,,2003
Numb,Meteora,Linkin Park,187000,17,0,Linkin Park,2003
Like a Boss,UKF Dubstep 2012,Eptic,275000,0,0,,2012
Stay the Night,Uno!,Green Day,276688,0,0,,2012
Apartment,Young the Giant,Young the Giant,235728,0,0,,2011
Stray Heart,Dos!,Green Day,224862,0,0,,2012
What About Now,Daughtry,Chris Daughtry,251000,0,0,,2006
Stache,Clarity,Zedd,244582,0,0,Anton Zaslavski,2012
Nuclear Family,Uno!,Green Day,183169,0,0,,2012
Check It Out,,,255000,16,0,,0
Going Under,Fallen,Evanescence,214959,0,0,,2003
Oh Love,Uno!,Green Day,303305,0,0,,2012
Aeon Of Revenge,A State Of Trance Radio Top 20 July 2012,Andrew Rayel,465680,0,0,,2012
Spectrum (feat. Matthew Koma),Clarity,Zedd,243432,0,0,Matthew Koma & Anton Zaslavski,2012
La LaLand,Don't Forget,Demi Lovato,197000,0,0,,2008
Papercut,Hybrid Theory,Linkin Park,185000,19,0,,2000
Ghosts (Radio Edit),Velocifero,Ladytron,205000,0,0,,2008
My Body,Young the Giant,Young the Giant,244366,0,0,,2011
Everybody's Fool,Fallen,Evanescence,195890,0,0,,2003
Start All Over,Meet Miley Cyrus,Hannah Montana,207000,0,0,,0
Over You,Daughtry,Chris Daughtry,207000,0,0,,2007
Thnks Fr Th Mmrs,Infinity On High,Fall Out Boy,204000,2,0,,2007
Hyph Mngo,The Sound Of Dubstep Classics - Ministry Of Sound,Joy Orbison,338413,0,0,,2013
Decisions,The Sound Of Dubstep Classics - Ministry Of Sound,Borgore,194000,0,0,,2013
Cough Syrup,Young the Giant,Young the Giant,249475,0,0,,2011
Your Drums Your Love,Chilled House Session 2013 ,Alunageorge,217807,0,0,,2013
Giorgio by Moroder,Random Access Memories,Daft Punk,544554,0,0,,2013
Troublemaker,Uno!,Green Day,165275,0,0,,2012
Manos Al Aire,Manos Al Aire,Nelly Furtado,210000,9,0,,0
Nickleback - Rockstar.mp3,For All The Right Reasons,Nickleback,255000,0,0,,0
Home,Daughtry,Daughtry,256000,0,0,,0
Rest Of My Life (Ludacris feat. Usher & David Guetta),Ludacris - Rest Of My Life,Ludacris,232000,0,0,,0
Codec,Clarity,Zedd,361714,0,0,Anton Zaslavski,2012
